#time[s]	1CH	2CH	3CH	4CH
65.171000	815.386292	3.186125	-614.400024	819.174988
65.172000	815.386292	3.198241	-614.400024	819.174988
65.173000	815.386292	3.194651	-614.400024	819.174988
65.174000	815.386292	3.204973	-614.400024	819.174988
65.175000	815.386292	3.203626	-614.400024	819.174988
65.176000	815.386292	3.192408	-614.400024	819.174988
65.177000	815.386292	3.182535	-614.400024	819.174988
65.178000	815.386292	3.199139	-614.400024	819.174988
65.179000	815.386292	3.191510	-614.400024	819.174988
65.180000	815.386292	3.198241	-614.400024	819.174988
65.181000	815.386292	3.193305	-614.400024	819.174988
65.182000	815.386292	3.188369	-614.400024	819.174988
65.183000	815.386292	3.198690	-614.400024	819.174988
65.184000	815.386292	3.203178	-614.400024	819.174988
65.185000	815.386292	3.194651	-614.400024	819.174988
65.186000	815.386292	3.182535	-614.400024	819.174988
65.187000	815.386292	3.204075	-614.400024	819.174988
65.188000	815.386292	3.205421	-614.400024	819.174988
65.189000	815.386292	3.196895	-614.400024	819.174988
65.190000	815.386292	3.200934	-614.400024	819.174988
65.191000	815.386292	3.186574	-614.400024	819.174988
65.192000	815.386292	3.186574	-614.400024	819.174988
65.193000	815.386292	3.191959	-614.400024	819.174988
65.194000	815.386292	3.191061	-614.400024	819.174988
65.195000	815.386292	3.193754	-614.400024	819.174988
65.196000	815.386292	3.189715	-614.400024	819.174988
65.197000	815.386292	3.186574	-614.400024	819.174988
65.198000	815.386292	3.197793	-614.400024	819.174988
65.199000	815.386292	3.198241	-614.400024	819.174988
65.200000	815.386292	3.206768	-614.400024	819.174988
65.201000	815.386292	3.195997	-614.400024	819.174988
65.202000	815.386292	3.191061	-614.400024	819.174988
65.203000	815.386292	3.195997	-614.400024	819.174988
65.204000	815.386292	3.194651	-614.400024	819.174988
65.205000	815.386292	3.200934	-614.400024	819.174988
65.206000	815.386292	3.189266	-614.400024	819.174988
65.207000	815.386292	3.199139	-614.400024	819.174988
65.208000	815.386292	3.193305	-614.400024	819.174988
65.209000	815.386292	3.201383	-614.400024	819.174988
65.210000	815.386292	3.195549	-614.400024	819.174988
65.211000	815.386292	3.200485	-614.400024	819.174988
65.212000	815.386292	3.192408	-614.400024	819.174988
65.213000	815.386292	3.192408	-614.400024	819.174988
65.214000	815.386292	3.187023	-614.400024	819.174988
65.215000	815.386292	3.187023	-614.400024	819.174988
65.216000	815.386292	3.192408	-614.400024	819.174988
65.217000	815.386292	3.191510	-614.400024	819.174988
65.218000	815.386292	3.186574	-614.400024	819.174988
65.219000	815.386292	3.190164	-614.400024	819.174988
65.220000	815.386292	3.182535	-614.400024	819.174988
65.221000	815.386292	3.212601	-614.400024	819.174988
65.222000	815.386292	3.196446	-614.400024	819.174988
65.223000	815.386292	3.185676	-614.400024	819.174988
65.224000	815.386292	3.190613	-614.400024	819.174988
65.225000	815.386292	3.197793	-614.400024	819.174988
65.226000	815.386292	3.194203	-614.400024	819.174988
65.227000	815.386292	3.200934	-614.400024	819.174988
65.228000	815.386292	3.192856	-614.400024	819.174988
65.229000	815.386292	3.196895	-614.400024	819.174988
65.230000	815.386292	3.200485	-614.400024	819.174988
65.231000	815.386292	3.196446	-614.400024	819.174988
65.232000	815.386292	3.187471	-614.400024	819.174988
65.233000	815.386292	3.177150	-614.400024	819.174988
65.234000	815.386292	3.196895	-614.400024	819.174988
65.235000	815.386292	3.190613	-614.400024	819.174988
65.236000	815.386292	3.195997	-614.400024	819.174988
65.237000	815.386292	3.188369	-614.400024	819.174988
65.238000	815.386292	3.197344	-614.400024	819.174988
65.239000	815.386292	3.191061	-614.400024	819.174988
65.240000	815.386292	3.196895	-614.400024	819.174988
65.241000	815.386292	3.194651	-614.400024	819.174988
65.242000	815.386292	3.199588	-614.400024	819.174988
65.243000	815.386292	3.177599	-614.400024	819.174988
65.244000	815.386292	3.190164	-614.400024	819.174988
65.245000	815.386292	3.193305	-614.400024	819.174988
65.246000	815.386292	3.195997	-614.400024	819.174988
65.247000	815.386292	3.193754	-614.400024	819.174988
65.248000	815.386292	3.191959	-614.400024	819.174988
65.249000	815.386292	3.199588	-614.400024	819.174988
65.250000	815.386292	3.200036	-614.400024	819.174988
65.251000	815.386292	3.190164	-614.400024	819.174988
65.252000	815.386292	3.199139	-614.400024	819.174988
65.253000	815.386292	3.196446	-614.400024	819.174988
65.254000	815.386292	3.198690	-614.400024	819.174988
65.255000	815.386292	3.199139	-614.400024	819.174988
65.256000	815.386292	3.191061	-614.400024	819.174988
65.257000	815.386292	3.202280	-614.400024	819.174988
65.258000	815.386292	3.185676	-614.400024	819.174988
65.259000	815.386292	3.192408	-614.400024	819.174988
65.260000	815.386292	3.200485	-614.400024	819.174988
65.261000	815.386292	3.196446	-614.400024	819.174988
65.262000	815.386292	3.199588	-614.400024	819.174988
65.263000	815.386292	3.200934	-614.400024	819.174988
65.264000	815.386292	3.200036	-614.400024	819.174988
65.265000	815.386292	3.185228	-614.400024	819.174988
65.266000	815.386292	3.190164	-614.400024	819.174988
65.267000	815.386292	3.190613	-614.400024	819.174988
65.268000	815.386292	3.199588	-614.400024	819.174988
65.269000	815.386292	3.191959	-614.400024	819.174988
65.270000	815.386292	3.195100	-614.400024	819.174988
65.271000	815.386292	3.194203	-614.400024	819.174988
65.272000	815.386292	3.188369	-614.400024	819.174988
65.273000	815.386292	3.185676	-614.400024	819.174988
65.274000	815.386292	3.186574	-614.400024	819.174988
65.275000	815.386292	3.189266	-614.400024	819.174988
65.276000	815.386292	3.200485	-614.400024	819.174988
65.277000	815.386292	3.191510	-614.400024	819.174988
65.278000	815.386292	3.206319	-614.400024	819.174988
65.279000	815.386292	3.191959	-614.400024	819.174988
65.280000	815.386292	3.193305	-614.400024	819.174988
65.281000	815.386292	3.204075	-614.400024	819.174988
65.282000	815.386292	3.190164	-614.400024	819.174988
65.283000	815.386292	3.198241	-614.400024	819.174988
65.284000	815.386292	3.205421	-614.400024	819.174988
65.285000	815.386292	3.183881	-614.400024	819.174988
65.286000	815.386292	3.177150	-614.400024	819.174988
65.287000	815.386292	3.195100	-614.400024	819.174988
65.288000	815.386292	3.200485	-614.400024	819.174988
65.289000	815.386292	3.195549	-614.400024	819.174988
65.290000	815.386292	3.194651	-614.400024	819.174988
65.291000	815.386292	3.179394	-614.400024	819.174988
65.292000	815.386292	3.187920	-614.400024	819.174988
65.293000	815.386292	3.185228	-614.400024	819.174988
65.294000	815.386292	3.190613	-614.400024	819.174988
65.295000	815.386292	3.197793	-614.400024	819.174988
65.296000	815.386292	3.192408	-614.400024	819.174988
65.297000	815.386292	3.191061	-614.400024	819.174988
65.298000	815.386292	3.190164	-614.400024	819.174988
65.299000	815.386292	3.190164	-614.400024	819.174988
65.300000	815.386292	3.189715	-614.400024	819.174988
65.301000	815.386292	3.195100	-614.400024	819.174988
65.302000	815.386292	3.189266	-614.400024	819.174988
65.303000	815.386292	3.186125	-614.400024	819.174988
65.304000	815.386292	3.180740	-614.400024	819.174988
65.305000	815.386292	3.204973	-614.400024	819.174988
65.306000	815.386292	3.199139	-614.400024	819.174988
65.307000	815.386292	3.190164	-614.400024	819.174988
65.308000	815.386292	3.191510	-614.400024	819.174988
65.309000	815.386292	3.193305	-614.400024	819.174988
65.310000	815.386292	3.187023	-614.400024	819.174988
65.311000	815.386292	3.193305	-614.400024	819.174988
65.312000	815.386292	3.191510	-614.400024	819.174988
65.313000	815.386292	3.196446	-614.400024	819.174988
65.314000	815.386292	3.199139	-614.400024	819.174988
65.315000	815.386292	3.190164	-614.400024	819.174988
65.316000	815.386292	3.197344	-614.400024	819.174988
65.317000	815.386292	3.183433	-614.400024	819.174988
65.318000	815.386292	3.203178	-614.400024	819.174988
65.319000	815.386292	3.199139	-614.400024	819.174988
65.320000	815.386292	3.188369	-614.400024	819.174988
65.321000	815.386292	3.200934	-614.400024	819.174988
65.322000	815.386292	3.195100	-614.400024	819.174988
65.323000	815.386292	3.192408	-614.400024	819.174988
65.324000	815.386292	3.187471	-614.400024	819.174988
65.325000	815.386292	3.203178	-614.400024	819.174988
65.326000	815.386292	3.193305	-614.400024	819.174988
65.327000	815.386292	3.190613	-614.400024	819.174988
65.328000	815.386292	3.187471	-614.400024	819.174988
65.329000	815.386292	3.195549	-614.400024	819.174988
65.330000	815.386292	3.195549	-614.400024	819.174988
65.331000	815.386292	3.182535	-614.400024	819.174988
65.332000	815.386292	3.185676	-614.400024	819.174988
65.333000	815.386292	3.198241	-614.400024	819.174988
65.334000	815.386292	3.188369	-614.400024	819.174988
65.335000	815.386292	3.195997	-614.400024	819.174988
65.336000	815.386292	3.183433	-614.400024	819.174988
65.337000	815.386292	3.191061	-614.400024	819.174988
65.338000	815.386292	3.196446	-614.400024	819.174988
65.339000	815.386292	3.199588	-614.400024	819.174988
65.340000	815.386292	3.194203	-614.400024	819.174988
65.341000	815.386292	3.190164	-614.400024	819.174988
65.342000	815.386292	3.182984	-614.400024	819.174988
65.343000	815.386292	3.183433	-614.400024	819.174988
65.344000	815.386292	3.193305	-614.400024	819.174988
65.345000	815.386292	3.193305	-614.400024	819.174988
65.346000	815.386292	3.179842	-614.400024	819.174988
65.347000	815.386292	3.200934	-614.400024	819.174988
65.348000	815.386292	3.200934	-614.400024	819.174988
65.349000	815.386292	3.200036	-614.400024	819.174988
65.350000	815.386292	3.195549	-614.400024	819.174988
65.351000	815.386292	3.198241	-614.400024	819.174988
65.352000	815.386292	3.181189	-614.400024	819.174988
65.353000	815.386292	3.189266	-614.400024	819.174988
65.354000	815.386292	3.202280	-614.400024	819.174988
65.355000	815.386292	3.190164	-614.400024	819.174988
65.356000	815.386292	3.192408	-614.400024	819.174988
65.357000	815.386292	3.194651	-614.400024	819.174988
65.358000	815.386292	3.193305	-614.400024	819.174988
65.359000	815.386292	3.200485	-614.400024	819.174988
65.360000	815.386292	3.186574	-614.400024	819.174988
65.361000	815.386292	3.203178	-614.400024	819.174988
65.362000	815.386292	3.195100	-614.400024	819.174988
65.363000	815.386292	3.202729	-614.400024	819.174988
65.364000	815.386292	3.189266	-614.400024	819.174988
65.365000	815.386292	3.192408	-614.400024	819.174988
65.366000	815.386292	3.202729	-614.400024	819.174988
65.367000	815.386292	3.191061	-614.400024	819.174988
65.368000	815.386292	3.208114	-614.400024	819.174988
65.369000	815.386292	3.181638	-614.400024	819.174988
65.370000	815.386292	3.188818	-614.400024	819.174988
65.371000	815.386292	3.190613	-614.400024	819.174988
65.372000	815.386292	3.185676	-614.400024	819.174988
65.373000	815.386292	3.191061	-614.400024	819.174988
65.374000	815.386292	3.189715	-614.400024	819.174988
65.375000	815.386292	3.182984	-614.400024	819.174988
65.376000	815.386292	3.180291	-614.400024	819.174988
65.377000	815.386292	3.188818	-614.400024	819.174988
65.378000	815.386292	3.186125	-614.400024	819.174988
65.379000	815.386292	3.190164	-614.400024	819.174988
65.380000	815.386292	3.186574	-614.400024	819.174988
65.381000	815.386292	3.195549	-614.400024	819.174988
65.382000	815.386292	3.182984	-614.400024	819.174988
65.383000	815.386292	3.195100	-614.400024	819.174988
65.384000	815.386292	3.186125	-614.400024	819.174988
65.385000	815.386292	3.195549	-614.400024	819.174988
65.386000	815.386292	3.183433	-614.400024	819.174988
65.387000	815.386292	3.188369	-614.400024	819.174988
65.388000	815.386292	3.187023	-614.400024	819.174988
65.389000	815.386292	3.197793	-614.400024	819.174988
65.390000	815.386292	3.186574	-614.400024	819.174988
65.391000	815.386292	3.186125	-614.400024	819.174988
65.392000	815.386292	3.194203	-614.400024	819.174988
65.393000	815.386292	3.181189	-614.400024	819.174988
65.394000	815.386292	3.189715	-614.400024	819.174988
65.395000	815.386292	3.191061	-614.400024	819.174988
65.396000	815.386292	3.187023	-614.400024	819.174988
65.397000	815.386292	3.190164	-614.400024	819.174988
65.398000	815.386292	3.188369	-614.400024	819.174988
65.399000	815.386292	3.195549	-614.400024	819.174988
65.400000	815.386292	3.169521	-614.400024	819.174988
65.401000	815.386292	3.179394	-614.400024	819.174988
65.402000	815.386292	3.176253	-614.400024	819.174988
65.403000	815.386292	3.176701	-614.400024	819.174988
65.404000	815.386292	3.193305	-614.400024	819.174988
65.405000	815.386292	3.190613	-614.400024	819.174988
65.406000	815.386292	3.195549	-614.400024	819.174988
65.407000	815.386292	3.194651	-614.400024	819.174988
65.408000	815.386292	3.195997	-614.400024	819.174988
65.409000	815.386292	3.197793	-614.400024	819.174988
65.410000	815.386292	3.189715	-614.400024	819.174988
65.411000	815.386292	3.176253	-614.400024	819.174988
65.412000	815.386292	3.199139	-614.400024	819.174988
65.413000	815.386292	3.198241	-614.400024	819.174988
65.414000	815.386292	3.193305	-614.400024	819.174988
65.415000	815.386292	3.200036	-614.400024	819.174988
65.416000	815.386292	3.188818	-614.400024	819.174988
65.417000	815.386292	3.178945	-614.400024	819.174988
65.418000	815.386292	3.197344	-614.400024	819.174988
65.419000	815.386292	3.191061	-614.400024	819.174988
65.420000	815.386292	3.188818	-614.400024	819.174988
65.421000	815.386292	3.197344	-614.400024	819.174988
65.422000	815.386292	3.191959	-614.400024	819.174988
65.423000	815.386292	3.191959	-614.400024	819.174988
65.424000	815.386292	3.186574	-614.400024	819.174988
65.425000	815.386292	3.195549	-614.400024	819.174988
65.426000	815.386292	3.189715	-614.400024	819.174988
65.427000	815.386292	3.186125	-614.400024	819.174988
65.428000	815.386292	3.180291	-614.400024	819.174988
65.429000	815.386292	3.185228	-614.400024	819.174988
65.430000	815.386292	3.177150	-614.400024	819.174988
65.431000	815.386292	3.191061	-614.400024	819.174988
65.432000	815.386292	3.194651	-614.400024	819.174988
65.433000	815.386292	3.186574	-614.400024	819.174988
65.434000	815.386292	3.190164	-614.400024	819.174988
65.435000	815.386292	3.188369	-614.400024	819.174988
65.436000	815.386292	3.174009	-614.400024	819.174988
65.437000	815.386292	3.188369	-614.400024	819.174988
65.438000	815.386292	3.178048	-614.400024	819.174988
65.439000	815.386292	3.178945	-614.400024	819.174988
65.440000	815.386292	3.185228	-614.400024	819.174988
65.441000	815.386292	3.183433	-614.400024	819.174988
65.442000	815.386292	3.198690	-614.400024	819.174988
65.443000	815.386292	3.190613	-614.400024	819.174988
65.444000	815.386292	3.190164	-614.400024	819.174988
65.445000	815.386292	3.190164	-614.400024	819.174988
65.446000	815.386292	3.184779	-614.400024	819.174988
65.447000	815.386292	3.188369	-614.400024	819.174988
65.448000	815.386292	3.191061	-614.400024	819.174988
65.449000	815.386292	3.185228	-614.400024	819.174988
65.450000	815.386292	3.176253	-614.400024	819.174988
65.451000	815.386292	3.167726	-614.400024	819.174988
65.452000	815.386292	3.179842	-614.400024	819.174988
65.453000	815.386292	3.186574	-614.400024	819.174988
65.454000	815.386292	3.186574	-614.400024	819.174988
65.455000	815.386292	3.194203	-614.400024	819.174988
65.456000	815.386292	3.190613	-614.400024	819.174988
65.457000	815.386292	3.183433	-614.400024	819.174988
65.458000	815.386292	3.198241	-614.400024	819.174988
65.459000	815.386292	3.193305	-614.400024	819.174988
65.460000	815.386292	3.180740	-614.400024	819.174988
65.461000	815.386292	3.187471	-614.400024	819.174988
65.462000	815.386292	3.192856	-614.400024	819.174988
65.463000	815.386292	3.205870	-614.400024	819.174988
65.464000	815.386292	3.183881	-614.400024	819.174988
65.465000	815.386292	3.176253	-614.400024	819.174988
65.466000	815.386292	3.181638	-614.400024	819.174988
65.467000	815.386292	3.187471	-614.400024	819.174988
65.468000	815.386292	3.194651	-614.400024	819.174988
65.469000	815.386292	3.184330	-614.400024	819.174988
65.470000	815.386292	3.178496	-614.400024	819.174988
65.471000	815.386292	3.178048	-614.400024	819.174988
65.472000	815.386292	3.189266	-614.400024	819.174988
65.473000	815.386292	3.196895	-614.400024	819.174988
65.474000	815.386292	3.198241	-614.400024	819.174988
65.475000	815.386292	3.196446	-614.400024	819.174988
65.476000	815.386292	3.183881	-614.400024	819.174988
65.477000	815.386292	3.190613	-614.400024	819.174988
65.478000	815.386292	3.173111	-614.400024	819.174988
65.479000	815.386292	3.186125	-614.400024	819.174988
65.480000	815.386292	3.193754	-614.400024	819.174988
